ab_id,pitcher_id,p_throws,pitch_type,pfx_x,vy0,px,pz,type_confidence
2015002480,453562,R,FF,-5.7,-136.61,-0.13,2.086,2.0
2015002480,453562,R,FF,-6.49,-137.19,-1.085,3.543,2.0
2015002480,453562,R,SI,-7.86,-137.203,-0.098,0.516,0.905
2015002480,453562,R,SL,1.91,-134.552,-0.158,1.119,2.0
2015002480,453562,R,FF,-3.25,-137.842,-1.606,1.788,2.0
2015002481,453562,R,SI,-10.21,-137.928,-0.229,3.443,0.915
2015002481,453562,R,SI,-9.17,-138.882,1.025,2.07,2.0
2015002481,453562,R,SI,-8.77,-138.995,-0.909,2.571,2.0
2015002481,453562,R,SI,-10.25,-138.015,0.492,1.778,0.899
2015002481,453562,R,FF,-6.4,-137.315,-0.194,3.898,2.0
2015002481,453562,R,SL,1.34,-133.793,-1.285,1.884,2.0
2015002482,453562,R,SI,-10.28,-135.346,-0.611,2.199,0.892
2015002482,453562,R,SI,-10.57,-136.624,-0.74,2.089,0.902
2015002483,453562,R,FF,-6.19,-137.477,-1.369,2.291,2.0
2015002483,453562,R,SI,-7.68,-137.419,-1.407,3.281,0.922
2015002483,453562,R,SI,-6.73,-138.074,-1.773,3.416,0.934
2015002483,453562,R,SI,-7.21,-135.871,-1.7,1.893,2.0
2015002484,453562,R,SL,0.12,-132.256,-1.164,2.919,2.0
2015002484,453562,R,SL,0.92,-134.398,-0.181,1.466,2.0
2015002484,453562,R,CU,6.43,-116.956,1.054,0.113,2.0
2015002484,453562,R,SL,1.86,-132.56,-0.654,3.262,2.0
2015002484,453562,R,SL,2.98,-132.078,0.553,2.333,2.0
2015002488,453562,R,SL,-0.27,-131.143,-0.869,2.385,2.0
2015002488,453562,R,SL,2.6,-129.64,0.427,3.124,2.0
2015002488,453562,R,SI,-8.73,-136.303,0.406,2.912,0.897
2015002489,453562,R,SI,-9.1,-135.927,-0.233,2.697,2.0
2015002489,453562,R,SI,-10.0,-138.02,0.156,3.231,0.903
2015002489,453562,R,FF,-5.45,-136.401,0.504,3.58,2.0
2015002489,453562,R,SL,0.31,-134.019,0.659,1.079,2.0
2015002489,453562,R,SL,0.68,-133.777,-0.009,2.175,2.0
2015002490,453562,R,SI,-6.89,-137.672,-0.412,2.311,0.914
2015002490,453562,R,SL,3.46,-132.326,-0.38,1.762,2.0
2015002494,453562,R,FF,-3.36,-134.784,0.373,2.594,2.0
2015002494,453562,R,FF,-6.26,-134.718,1.524,3.739,2.0
2015002494,453562,R,SI,-10.13,-135.374,0.039,1.305,2.0
2015002494,453562,R,FF,-5.33,-135.414,0.014,2.691,2.0
2015002494,453562,R,SL,2.79,-130.325,0.602,1.999,2.0
2015002495,453562,R,SI,-8.52,-136.013,-1.393,3.845,2.0
2015002495,453562,R,SL,2.03,-130.076,-1.101,3.559,2.0
2015002495,453562,R,SI,-8.52,-137.421,-1.105,2.5,0.898
2015002495,453562,R,SI,-8.3,-136.827,-0.929,3.431,0.646
2015002495,453562,R,SL,1.97,-133.423,-0.663,1.967,2.0
2015002496,453562,R,SI,-10.51,-135.638,0.707,3.086,2.0
2015002496,453562,R,SI,-8.33,-136.277,-0.819,4.149,0.896
2015002496,453562,R,SL,0.51,-132.801,0.343,3.062,2.0
2015002497,453562,R,SL,2.05,-130.683,0.779,2.206,2.0
2015002497,453562,R,SL,1.74,-131.43,1.063,2.229,2.0
2015002498,453562,R,FF,-6.02,-137.118,-0.652,2.344,2.0
2015002498,453562,R,SI,-7.48,-138.033,-1.371,1.536,0.911
2015002498,453562,R,SL,1.43,-132.585,-1.376,2.3,2.0
2015002498,453562,R,CU,4.56,-118.564,-0.489,0.809,2.0
2015002502,453562,R,SI,-10.48,-135.017,-1.638,3.485,2.0
2015002502,453562,R,SI,-8.2,-134.805,0.818,3.193,2.0
2015002502,453562,R,CU,4.85,-115.366,0.663,0.578,2.0
2015002502,453562,R,SL,3.29,-130.318,0.027,1.677,2.0
2015002502,453562,R,FF,-4.93,-136.366,0.56,2.05,2.0
2015002503,453562,R,FF,-7.23,-135.409,-0.806,2.305,2.0
2015002503,453562,R,SI,-8.03,-134.825,-0.6,2.763,2.0
2015002503,453562,R,SI,-10.93,-135.715,-1.409,3.699,0.776
2015002503,453562,R,CU,3.88,-116.012,-1.528,1.849,2.0
2015002503,453562,R,SI,-8.9,-135.721,0.906,2.622,2.0
2015002503,453562,R,SL,3.5,-128.034,-0.362,2.337,2.0
2015002504,453562,R,SI,-8.32,-133.892,0.181,2.582,2.0
2015002504,453562,R,SL,2.61,-130.387,0.396,2.237,2.0
2015002504,453562,R,FF,-4.19,-134.585,0.966,4.137,2.0
2015002504,453562,R,FF,-1.93,-136.049,1.243,1.645,2.0
2015002504,453562,R,SI,-7.5,-134.958,0.072,2.085,2.0
2015002504,453562,R,CU,6.51,-115.238,-0.589,1.257,2.0
2015002510,453562,R,SI,-8.25,-134.842,-2.878,3.018,2.0
2015002510,453562,R,SL,1.08,-129.087,-0.292,3.675,2.0
2015002510,453562,R,SI,-7.6,-134.056,-0.579,2.489,2.0
2015002510,453562,R,SI,-10.97,-135.389,-0.53,2.767,0.874
2015002510,453562,R,SI,-8.42,-136.089,-0.486,2.871,0.89
2015002511,453562,R,FF,-6.94,-133.088,-0.321,3.767,2.0
2015002511,453562,R,SI,-9.2,-133.375,0.937,3.476,2.0
2015002511,453562,R,SI,-8.07,-135.334,-0.508,1.667,0.924
2015002511,453562,R,FF,-5.28,-135.87,-0.664,2.235,2.0
2015002511,453562,R,SI,-8.66,-134.883,-0.749,3.411,2.0
2015002512,453562,R,SI,-8.03,-135.168,-0.965,2.533,2.0
2015002512,453562,R,SL,4.26,-128.891,-0.485,2.018,2.0
2015002516,453562,R,SI,-7.85,-133.651,0.245,3.942,2.0
2015002516,453562,R,CH,-9.85,-125.512,-0.483,1.902,2.0
2015002517,453562,R,SI,-8.22,-134.075,0.067,2.727,2.0
2015002517,453562,R,CU,5.53,-113.966,-0.47,2.262,2.0
2015002518,453562,R,FF,-3.18,-134.053,0.13,1.842,2.0
2015002518,453562,R,CH,-11.74,-127.392,-0.582,0.879,2.0
2015002518,453562,R,SL,3.69,-129.798,-1.093,1.709,2.0
2015002518,453562,R,FF,-5.11,-136.004,1.142,2.62,2.0
2015002518,453562,R,FF,-4.75,-136.238,-1.356,2.207,2.0
2015002518,453562,R,SL,4.2,-130.711,-1.102,0.812,2.0
2015002519,453562,R,SL,4.45,-128.047,0.051,2.43,2.0
2015002520,453562,R,SL,2.69,-130.476,-0.6,1.969,2.0
2015002524,453562,R,SL,3.15,-128.405,-0.157,2.524,2.0
2015002524,453562,R,SL,1.71,-130.528,-0.125,2.121,2.0
2015002525,453562,R,FF,-3.64,-134.757,-0.006,1.994,2.0
2015002525,453562,R,CH,-11.11,-127.434,-0.758,0.759,2.0
2015002525,453562,R,CH,-10.88,-126.157,-1.908,1.034,2.0
2015002525,453562,R,CH,-14.29,-126.772,-1.607,0.753,2.0
2015002525,453562,R,SL,2.19,-131.64,-1.469,1.756,2.0
2015002525,453562,R,SL,1.66,-131.15,-0.769,2.917,2.0
2015002526,453562,R,SI,-10.82,-133.361,-0.323,3.784,2.0
2015002526,453562,R,SI,-8.36,-133.797,-0.001,2.425,2.0
2015002526,453562,R,SI,-9.97,-134.555,-0.339,2.721,0.696
2015002526,453562,R,CU,8.66,-112.853,-0.633,3.146,2.0
2015008245,453562,R,FF,-3.86,-135.525,-0.444,2.604,2.0
2015008245,453562,R,SL,1.98,-134.0,0.113,2.202,2.0
2015008245,453562,R,SI,-8.8,-137.646,0.404,2.666,0.91
2015008246,453562,R,SI,-8.3,-138.974,-0.38,3.591,2.0
2015008246,453562,R,SI,-9.7,-137.707,0.734,1.42,0.898
2015008246,453562,R,SI,-8.46,-139.484,-0.697,1.934,2.0
2015008246,453562,R,FF,-7.85,-137.738,-0.532,1.639,2.0
2015008247,453562,R,FF,-2.7,-138.498,0.213,0.927,2.0
2015008247,453562,R,SL,-0.09,-135.518,0.297,1.787,2.0
2015008251,453562,R,FF,-4.91,-136.993,-0.809,1.73,2.0
2015008252,453562,R,SI,-8.33,-138.534,-0.859,2.935,2.0
2015008252,453562,R,CU,5.86,-116.565,-1.275,3.022,2.0
2015008252,453562,R,FF,-5.84,-138.392,-1.739,3.163,2.0
2015008252,453562,R,SL,2.48,-131.666,0.496,2.23,2.0
2015008252,453562,R,SL,2.81,-133.586,-0.445,1.498,2.0
2015008252,453562,R,SL,1.5,-135.033,-1.08,3.026,2.0
2015008252,453562,R,SI,-7.68,-137.189,-0.003,2.929,0.916
2015008252,453562,R,SL,2.07,-133.187,-0.606,1.676,2.0
2015008252,453562,R,SI,-7.8,-139.14,-0.612,3.475,0.92
2015008253,453562,R,SL,2.83,-131.48,0.527,1.782,2.0
2015008253,453562,R,SI,-9.0,-137.386,0.254,2.945,0.897
2015008253,453562,R,FF,-0.4,-137.279,0.176,5.628,2.0
2015008253,453562,R,FF,-5.91,-137.241,0.453,3.423,2.0
2015008253,453562,R,CU,5.73,-116.741,-0.115,2.739,2.0
2015008257,453562,R,SI,-7.39,-135.147,-1.144,3.835,2.0
2015008257,453562,R,SI,-8.08,-134.306,0.169,3.055,2.0
2015008257,453562,R,CU,6.0,-116.135,0.262,0.528,2.0
2015008257,453562,R,SI,-9.06,-133.79,-1.524,3.481,2.0
2015008257,453562,R,SI,-10.18,-136.069,-0.882,2.317,0.874
2015008257,453562,R,SL,1.81,-132.057,-0.673,2.338,2.0
2015008258,453562,R,FF,-7.82,-135.907,0.242,0.585,2.0
2015008258,453562,R,SL,2.25,-130.618,-1.255,2.301,2.0
2015008258,453562,R,SI,-7.71,-135.876,0.91,2.523,2.0
2015008258,453562,R,SL,2.72,-130.572,-0.387,2.516,2.0
2015008258,453562,R,SL,3.57,-131.743,0.724,1.895,2.0
2015008259,453562,R,FF,-2.44,-134.805,-0.041,2.795,2.0
2015008259,453562,R,FF,-3.68,-135.594,-0.328,3.422,2.0
2015008259,453562,R,SI,-7.48,-135.838,1.1,3.019,2.0
2015008259,453562,R,SL,3.36,-131.694,-0.387,2.32,2.0
2015008259,453562,R,FF,-6.18,-135.044,0.181,2.862,2.0
